company,industry,role,year,source_platform,source_url,round_number,round_type,round_text
Microsoft,Technology,Software Engineer,2024,GeeksforGeeks,https://www.geeksforgeeks.org/microsoft-interview-experience-swe-2024,2,Technical,"Round 1 Technical: Binary tree right side view and vertical order traversal. In-depth OS questions: virtual memory, paging vs segmentation, multithreading and race conditions."
Microsoft,Technology,Software Engineer,2024,GeeksforGeeks,https://www.geeksforgeeks.org/microsoft-interview-experience-swe-2024,3,Technical,"Round 2 Technical: Design parking lot system using OOP principles, encapsulation, polymorphism, and SOLID design principles. SQL query optimization and normalization."
Microsoft,Technology,Software Engineer,2024,GeeksforGeeks,https://www.geeksforgeeks.org/microsoft-interview-experience-swe-2024,4,HR,"AA Round (Advisor/Director): Tell me about yourself. Why Microsoft? Discussion on cloud computing, career aspirations, and team collaboration."
Microsoft,Technology,SDE Intern,2025,LeetCode Discuss,https://leetcode.com/discuss/interview-experience/microsoft-intern-hyderabad-2025,1,Online Assessment,"Online Assessment: 2 problems. 1. Dynamic programming coin change problem. 2. String manipulation with two pointers."
Microsoft,Technology,SDE Intern,2025,LeetCode Discuss,https://leetcode.com/discuss/interview-experience/microsoft-intern-hyderabad-2025,2,Technical,"Technical Interview 1: Trie data structure for prefix matching. Computer networks questions: DNS lookup steps, TCP vs UDP, and OSI model layers."
Microsoft,Technology,SDE Intern,2025,LeetCode Discuss,https://leetcode.com/discuss/interview-experience/microsoft-intern-hyderabad-2025,3,HR,"HR Round: Behavioral questions on leadership, handling project failures, and why should we hire you."
Flipkart,E-Commerce,SDE-1,2024,GeeksforGeeks,https://www.geeksforgeeks.org/flipkart-sde1-machine-coding-2024,1,Online Assessment,"OA: 3 problems on Arrays, DP (Matrix chain multiplication), and Aptitude logical reasoning puzzles."
Flipkart,E-Commerce,SDE-1,2024,GeeksforGeeks,https://www.geeksforgeeks.org/flipkart-sde1-machine-coding-2024,2,Technical,"Machine Coding Round (LLD): 90 minutes to design and implement an in-memory Ride Sharing Application like Uber/Ola. Clean OOP code with strategy pattern, clean separation of models and services."
Flipkart,E-Commerce,SDE-1,2024,GeeksforGeeks,https://www.geeksforgeeks.org/flipkart-sde1-machine-coding-2024,3,Technical,"Problem Solving & Data Structures: Hard graph problem on Disjoint Set Union (Union Find) and finding articulation points. Discussed DBMS indexing and transactions."
Flipkart,E-Commerce,SDE-1,2024,GeeksforGeeks,https://www.geeksforgeeks.org/flipkart-sde1-machine-coding-2024,4,HR,"Hiring Manager Round: Cultural fitment, previous internship projects, handling production outages, and behavioral scenarios."
Flipkart,E-Commerce,SDE Intern,2023,GeeksforGeeks,https://www.geeksforgeeks.org/flipkart-sde-intern-campus-2023,1,Online Assessment,"Online Test: 3 Coding questions on dynamic programming, two pointers, and trees. Quantitative aptitude test on permutations and combinations."
Flipkart,E-Commerce,SDE Intern,2023,GeeksforGeeks,https://www.geeksforgeeks.org/flipkart-sde-intern-campus-2023,2,Technical,"Technical Round: Binary tree diameter, lowest common ancestor, and dynamic programming Longest Increasing Subsequence (LIS)."
Flipkart,E-Commerce,SDE Intern,2023,GeeksforGeeks,https://www.geeksforgeeks.org/flipkart-sde-intern-campus-2023,3,HR,"HR round: Why Flipkart over other e-commerce companies? Tell me about your team projects."
Goldman Sachs,Financial Services,Software Analyst,2024,GeeksforGeeks,https://www.geeksforgeeks.org/goldman-sachs-analyst-interview-experience-2024,1,Online Assessment,"Goldman Sachs Aptitude & Coding Assessment: 20 quantitative and logical reasoning aptitude questions + math puzzles, 2 coding problems (Arrays & DP), and 1 CS fundamentals section (DBMS & OS)."
Goldman Sachs,Financial Services,Software Analyst,2024,GeeksforGeeks,https://www.geeksforgeeks.org/goldman-sachs-analyst-interview-experience-2024,2,Technical,"Technical Round 1: High frequency trading math puzzles and probability questions. Data structure: Trapping Rain Water using two pointer method."
Goldman Sachs,Financial Services,Software Analyst,2024,GeeksforGeeks,https://www.geeksforgeeks.org/goldman-sachs-analyst-interview-experience-2024,3,Technical,"Technical Round 2: DBMS deep dive: SQL joins, query optimization, indexing, ACID transactions, and deadlocks in multithreaded systems. Coding: Graph topological sort."
Goldman Sachs,Financial Services,Software Analyst,2024,GeeksforGeeks,https://www.geeksforgeeks.org/goldman-sachs-analyst-interview-experience-2024,4,HR,"HR Round: Why finance/fintech? Tell me about yourself. Ethical dilemma scenarios and teamwork examples."
Goldman Sachs,Financial Services,Summer Analyst,2025,LeetCode Discuss,https://leetcode.com/discuss/interview-experience/goldman-sachs-summer-analyst-2025,1,Online Assessment,"HackerRank Test: Math probability puzzles, quantitative aptitude, and dynamic programming (Coin change and subarray sum)."
Goldman Sachs,Financial Services,Summer Analyst,2025,LeetCode Discuss,https://leetcode.com/discuss/interview-experience/goldman-sachs-summer-analyst-2025,2,Technical,"Technical Round: Object oriented programming concepts, virtual functions in C++, and binary search on sorted rotated array."
Goldman Sachs,Financial Services,Summer Analyst,2025,LeetCode Discuss,https://leetcode.com/discuss/interview-experience/goldman-sachs-summer-analyst-2025,3,HR,"HR Round: Strengths and weaknesses, handling stressful market deadlines, and behavioral fit."
Uber,Technology,Software Engineer,2024,LeetCode Discuss,https://leetcode.com/discuss/interview-experience/uber-swe-2024-bangalore,1,Online Assessment,"Uber OA: 3 tough coding questions on CodeSignal: 1. Matrix BFS with shortest path. 2. DP on intervals. 3. Array sliding window."
Uber,Technology,Software Engineer,2024,LeetCode Discuss,https://leetcode.com/discuss/interview-experience/uber-swe-2024-bangalore,2,Technical,"Technical Coding 1: Hard graph Dijkstra variation with fuel constraints and min-heap. OS threads, mutex, and race conditions."
Uber,Technology,Software Engineer,2024,LeetCode Discuss,https://leetcode.com/discuss/interview-experience/uber-swe-2024-bangalore,3,Technical,"System Design: Design Uber driver location tracker and matching service. Covered geospatial indexing with QuadTree/H3, WebSocket connections, Redis geospatial cache, and Kafka streaming."
Uber,Technology,Software Engineer,2024,LeetCode Discuss,https://leetcode.com/discuss/interview-experience/uber-swe-2024-bangalore,4,HR,"Bar Raiser / Culture Round: Conflict resolution, giving constructive feedback, and why Uber."
Meta,Technology,Software Engineer,2024,LeetCode Discuss,https://leetcode.com/discuss/interview-experience/meta-swe-e4-2024,1,Technical,"Technical Round 1: Two coding problems: 1. Binary Tree vertical traversal. 2. Subarray Sum Equals K using Hashmap prefix sums. 40 minutes for both."
Meta,Technology,Software Engineer,2024,LeetCode Discuss,https://leetcode.com/discuss/interview-experience/meta-swe-e4-2024,2,Technical,"Technical Round 2: 1. Word Ladder (Graph BFS). 2. Merge Intervals. Explaining time and space complexity with extreme precision."
Meta,Technology,Software Engineer,2024,LeetCode Discuss,https://leetcode.com/discuss/interview-experience/meta-swe-e4-2024,3,Technical,"System Design: Design Instagram Feed / Facebook Newsfeed. Topics: Fan-out on write vs fan-out on read, caching, database partitioning, and CDN media distribution."
Meta,Technology,Software Engineer,2024,LeetCode Discuss,https://leetcode.com/discuss/interview-experience/meta-swe-e4-2024,4,HR,"Behavioral: Tell me about yourself. A time when you navigated ambiguity or took ownership of a high-risk project."
Adobe,Technology,MTS-1,2024,GeeksforGeeks,https://www.geeksforgeeks.org/adobe-mts1-interview-experience-2024,1,Online Assessment,"Adobe OA: 2 coding questions on dynamic programming and strings, along with 10 aptitude and core CS questions (OS, DBMS, CN)."
Adobe,Technology,MTS-1,2024,GeeksforGeeks,https://www.geeksforgeeks.org/adobe-mts1-interview-experience-2024,2,Technical,"Technical Round 1: Binary search tree balance check and LCA. Deep dive into C++ OOP, memory management, smart pointers, and virtual tables."
Adobe,Technology,MTS-1,2024,GeeksforGeeks,https://www.geeksforgeeks.org/adobe-mts1-interview-experience-2024,3,Technical,"Technical Round 2: Graph cycle detection in directed graph (topological sort). Operating systems: paging, virtual memory, and process scheduling."
Adobe,Technology,MTS-1,2024,GeeksforGeeks,https://www.geeksforgeeks.org/adobe-mts1-interview-experience-2024,4,HR,"Director Round / HR: Discussed career goals, resume projects, creative problem solving, and fit for Adobe Creative Cloud team."
Oracle,Enterprise Software,Software Developer,2024,GeeksforGeeks,https://www.geeksforgeeks.org/oracle-server-technologies-interview-2024,1,Online Assessment,"Oracle OA: 3 coding problems on arrays, DP, and trees. Core CS section with heavy questions on DBMS, SQL queries, normalization, and OS semaphores."
Oracle,Enterprise Software,Software Developer,2024,GeeksforGeeks,https://www.geeksforgeeks.org/oracle-server-technologies-interview-2024,2,Technical,"Technical Round 1: B-Tree vs B+ Tree, SQL indexing mechanisms, query execution plans, transactions, isolation levels, and concurrency control."
Oracle,Enterprise Software,Software Developer,2024,GeeksforGeeks,https://www.geeksforgeeks.org/oracle-server-technologies-interview-2024,3,Technical,"Technical Round 2: Data structure: LRU Cache and Graph BFS. Computer networks: TCP three-way handshake, socket programming, and HTTP headers."
Oracle,Enterprise Software,Software Developer,2024,GeeksforGeeks,https://www.geeksforgeeks.org/oracle-server-technologies-interview-2024,4,HR,"HR Round: Why Oracle? Tell me about your strengths and weaknesses. Willingness to relocate."
Salesforce,Enterprise Cloud,Software Engineer,2024,GeeksforGeeks,https://www.geeksforgeeks.org/salesforce-interview-experience-swe-2024,1,Online Assessment,"HackerRank OA: 3 questions on arrays, strings, and dynamic programming (House robber variant)."
Salesforce,Enterprise Cloud,Software Engineer,2024,GeeksforGeeks,https://www.geeksforgeeks.org/salesforce-interview-experience-swe-2024,2,Technical,"Technical Round 1: Binary tree serialization and deserialization. OOP design patterns: Observer pattern and Singleton with thread safety."
Salesforce,Enterprise Cloud,Software Engineer,2024,GeeksforGeeks,https://www.geeksforgeeks.org/salesforce-interview-experience-swe-2024,3,Technical,"Technical Round 2: System design basics: multi-tenancy in cloud, database partitioning, and REST API design best practices."
Salesforce,Enterprise Cloud,Software Engineer,2024,GeeksforGeeks,https://www.geeksforgeeks.org/salesforce-interview-experience-swe-2024,4,HR,"HR Round: Tell me about yourself. Cultural alignment with Ohana culture, leadership, and team collaboration."
Atlassian,Enterprise Software,Software Engineer,2024,LeetCode Discuss,https://leetcode.com/discuss/interview-experience/atlassian-swe-2024-india,1,Online Assessment,"Online Assessment: 2 problems on Arrays and Graph BFS. High focus on clean code and edge cases."
Atlassian,Enterprise Software,Software Engineer,2024,LeetCode Discuss,https://leetcode.com/discuss/interview-experience/atlassian-swe-2024-india,2,Technical,"Coding Round (Data Structures): Implement Rate Limiter / Tag Popularity tracker with clean object oriented structure and unit tests."
Atlassian,Enterprise Software,Software Engineer,2024,LeetCode Discuss,https://leetcode.com/discuss/interview-experience/atlassian-swe-2024-india,3,Technical,"System Design: Design a real-time collaborative document editor like Confluence. Discussed Operational Transformation (OT), CRDTs, WebSockets, and Redis pub-sub."
Atlassian,Enterprise Software,Software Engineer,2024,LeetCode Discuss,https://leetcode.com/discuss/interview-experience/atlassian-swe-2024-india,4,HR,"Values Round: Deep behavioral interview on Atlassian 5 Core Values ('Open company, no bullshit', 'Build with heart and balance', etc.)."
Morgan Stanley,Financial Services,Technology Analyst,2024,GeeksforGeeks,https://www.geeksforgeeks.org/morgan-stanley-technology-analyst-2024,1,Online Assessment,"Online Test: 20 Aptitude (logical reasoning, quantitative math) + 20 Technical MCQs (Java, C++, OS, DBMS) + 2 Coding problems (Dynamic Programming & Trees)."
Morgan Stanley,Financial Services,Technology Analyst,2024,GeeksforGeeks,https://www.geeksforgeeks.org/morgan-stanley-technology-analyst-2024,2,Technical,"Technical Round 1: Java memory model, Garbage Collection, multithreading, and OOP design. Coding: Binary Tree zigzag traversal and Kadane's algorithm."
Morgan Stanley,Financial Services,Technology Analyst,2024,GeeksforGeeks,https://www.geeksforgeeks.org/morgan-stanley-technology-analyst-2024,3,Technical,"Technical Round 2: SQL complex queries with subqueries and joins, transaction ACID properties. Computer Networks: TCP/IP stack vs OSI model."
Morgan Stanley,Financial Services,Technology Analyst,2024,GeeksforGeeks,https://www.geeksforgeeks.org/morgan-stanley-technology-analyst-2024,4,HR,"HR & Professional Fitment: Why investment banking technology? Tell me about a time you handled conflict in a team. Where do you see yourself in 3 years?"
